ENTREPRISE;PROJET;THEMATIQUE;PAGE;VAGUE;LOCALISATION;MONTANT_PROJET;MONTANT_AIDE;REALISATION;ACTIVITE_ENTREPRISE;OBJECTIF_PROJET
hycco;hydrogen carbon compo­ nents;énergies renouvelables, stockage et systèmes énergétiques;15;5;HAUTE GARONNE (31);" OB
 1 961 853 €"; 567 248 €; 2020 - 2022;"HYCCO® développe un élément clef destiné aux prochaines générations 
de piles à combustibles, les plaques bipolaires. HYCCO® propose un service 
d’expertise sur l’intégration de sa technologie sur des systèmes industriels 
existant, et est en mesure d’accompagner ses clients, du prototypage 
jusqu’à la phase d’industrialisation.";"HYCCO® a pour ambition de devenir un acteur incontournable de 
l’hydrogène, en participant au développement d’une nouvelle génération 
de piles à combustibles hautes performances, qui permettra d’étendre 
l’usage de l’hydrogène à des champs jusqu’alors réservés aux énergies 
fossiles. Dans une démarche éco-responsable humaine et environnementale 
HYCCO® veut localiser sa production en région et reconvertir les emplois 
de la filière industrielle automobile diesel. L’objectif de ce projet est de lever 
les derniers verrous technologiques et industriels, et de mettre en place 
une ligne de production pilote permettant d’initialiser l’industrialisation du 
procédé."
iadys;sea-net 3.0;eau et biodiversité;7;5;"BOUCHES-DU-RHÔNE 
(13)";" OB
 761 087 €"; 325 364 €; 2020 - 2022;"IADYS est une jeune entreprise innovante qui conçoit, développe et 
commercialise des solutions innovantes à la croisée de l’Intelligence 
Artificielle et de la robotique.
IADYS 
révolutionne 
la 
réalisation 
de 
missions 
environnementales 
complexes ou récurrentes en diminuant les ressources nécessaires, les coûts 
d’exploitation, les risques d’exposition et leur impact écologique.";"Le projet Sea-neT 3.0 concerne le développement d’un robot dédié à la 
collecte automatisée et optimisée des déchets (jusqu’à 150μ) et pollutions 
à la surface des plans d’eau, avant qu’ils ne se dispersent dans le milieu 
naturel.
Un prototype capable d’évoluer en autonomie dans des environnements 
simples est actuellement en test. L’objectif est de démultiplier ses capacités :

évolution en environnement complexe et dynamique, meilleures capacités 
de détection et collecte intelligente et fonctionnement en petite flottille.

Il s’agit aussi d’en faire une sentinelle de surveillance de la pression humaine 
sur l’environnement en l’équipant de capteurs dédiés."
idmog;ai-afc;french fab industrie du futur;65;5;GIRONDE (33);" 986 563 € 

opti
mac"; 443 952 €; 2020 - 2021;"Avec FieldBox.ai, les industriels améliorent radicalement leur efficacité 
opérationnelle, grâce à l’Intelligence Artificielle (IA). La plateforme de 
FieldBox.ai permet de déployer l’IA au cœur des sites industriels. Ces IA 
optimisent en permanence et de façon autonome, le fonctionnement des 
machines et des opérations.";"L’objectif du projet AI-ACF est de développer une solution de surveillance 
d’algorithmes d’intelligence artificielle déployés dans les opérations 
industrielles. Les clients industriels de FieldBox.ai qui ont déployé grâce à 
la solution FieldBox des agents IA capable d’optimiser leurs opérations ont 
besoin de pérenniser ces investissements sur le long terme en évaluant et 
ajustant le comportement de ces agents afin de les adapter aux nouvelles 
situations opérationnelles de manière semi-automatique."
integrative phenomics;impacts obésité;alimentation durable pour la santé;48;5;PARIS (75);" 999 848 € 

Phen
pers"; 449 931 €; 2020 - 2021;"Grâce à des modèles scientifiques de pointe qui combinent microbiote 
intestinal, biologie, style de vie et environnement et à partir de la 
compréhension de la réponse individuelle aux aliments, Intégrative 
Phenomics a pour objectif, d’apporter des solutions de nutrition 
personnalisée pour lutter contre les maladies chroniques et encourager 
une alimentation durable.";"IMPACTS vise à livrer une solution logicielle médicale et nutritionnelle 
personnalisée aux individus qui cherchent à perdre du poids et à améliorer 
leur santé tout en encourageant des choix alimentaires durables. Tirant parti 
des analyses basées sur l’intelligence artificielle sur les données médicales, 
environnementales, nutritionnelles et du microbiome intestinal, la solution 
permettra de prédire la réponse individualisée aux aliments et de fournir 
des recommandations pratiques pour perdre et maintenir la perte de poids 
tout en modifiant le comportement."
isybot;coci;french fab industrie du futur;66;5;ESSONNE (91); 913 682 €; 411 156 €; 2020 - 2022;"La société ISYBOT, créée en 2016, conçoit, fabrique industriellement et 
commercialise des cobots sous la forme de bras robotiques interactifs, 
flexibles, sans cage, destinés à évoluer au contact des hommes, dans 
un espace de travail collaboratif et en toute sécurité pour tout type de 
procédé.";"Le projet consiste à développer un COBOT d’une capacité de charge 
de 35kg. Le COCI est conçu pour la manutention, la manipulation et 
l’assemblage de façon sécurisée quel que soit le secteur industriel.
Le projet comporte 2 objectifs spécifiques :
1. Recherche de concept d’équilibrage et sécurisation du cobot
2. Atteinte des performances attendues par le marché en toute sécurité
Il s’agira de résoudre la contradiction entre la vitesse d’exécution du cobot 
et la sécurité de l’utilisateur.
Le COCI aura une performance élevée en contrôle d’effort tout en étant 
léger et robuste, et cela, avec un positionnement prix très compétitif."
jpb systeme;keyprod;french fab industrie du futur;67;5;SEINE-ET-MARNE (77); 1 757 093 €; 614 982 €; 2020 - 2021;"JPB Système est l’un des leaders de la fabrication de solutions technologiques 
de serrage pour l’aérospatiale, l’aéronautique et d’autres secteurs 
industriels. Véritable natif digitale, l’entreprise est considérée comme l’un 
des pionniers de l’industrie 4.0 en France. Fort de cette expérience nous 
souhaitons accélérer pour aller plus loin dans ce sens.";"Le passage à l’industrie 4.0 doit-il être complexe ? Non ! JPB Système apporte 
une réponse aux industriels. Pour cela nous proposons une solution plug and 
play, non-invasive, lisible et ergonomique qui permet de mesurer et analyser 
la productivité. Le tout en ayant la capacité de s’adapter facilement aux 
environnement machine hétérogènes. Cette solution s’appelle KeyProd et 
mélange un IoT capable d’écouter et de comprendre la respiration de la 
machine, sur lequel il est aimanté, en analysant ses vibrations pour ensuite 
les transmettre vers une application web accessible sur tous supports pour 
les opérateurs et managers de production. 
PB SYSTEME"
kemica coatings;kecor;industrie et agriculture éco-efficientes;28;5;EURE-ET-LOIRE (28);" 960 763 € 

 OB"; 410 727 €; 2020 - 2022;"Fabrication et vente de résines d’étanchéité, de revêtement de sols et de 
protection anti corrosion pour le bâtiment, le génie civil, les industries, le 
secteur nucléaire et le secteur maritime/offshore.";"NGS 2019
Le projet KECOR se propose de développer une nouvelle technologie 
de peinture monocomposant, strictement sans solvant, évitant tout 
rejet ou émission de COV dans l’environnement et qui proposera des 
objectifs techniques de performance inégalés. Cette technique sera d’un 
grand intérêt économique par rapport aux solutions existantes (gains de 
productivité, etc.) :
• Innovation – résine monocomposant sans solvant ;
• Environnement : plus de rejets de COV lors de la pose ;
• Performance assurant une longue durabilité des équipements protégés ;
• Sécurité et préservation de la santé des applicateurs mettant en œuvre la 
nouvelle technique KECOR ;
• Gains importants de productivité (x3)."
linagora;work@home;numérique deep tech;77;5;HAUTS-DE-SEINE (92); 4 164 151 €; 1 457 451 €; 2020 - 2023;"LINAGORA est un éditeur innovant de Logiciels Libres. Notre mission est de 
permettre aux grandes organisations publiques ou privées de développer 
leur indépendance technologique. Nos solutions de collaboration, 
respectueuses de la confidentialité des données, sont aujourd’hui largement 
adoptées et sont la troisième voie numérique face aux GAFAM et aux BATX.";"Le projet WORK@HOME vise l’étude et le développement d’une plate-forme 
ouverte, unifiée, résiliente et sécurisée pour le travail distant. Cette plate-
forme se basera sur des technologies open-sources existantes développées 
notamment par LINAGORA. WORK@HOME fournira des fonctionnalités 
intelligentes innovantes, performantes et sécurisées pour assister le 
collaborateur distant au travers des différents canaux de communication.
Work@Home concerne un domaine clé extrêmement compétitif pour 
l’industrie Française. Il est au cœur de la stratégie souveraine de la France 
et lui permettra de se réapproprier les outils numériques collaboratifs 
nécessaires à son indépendance.
stration libre de droit : Creative Commons"
milvue;ml-emergency-suite;santé situations d’urgences;91;5;PARIS (75);" 639 428 € 

 OB"; 287 742 €; 2020 - 2022;"Milvue est un éditeur de logiciel médical, spécialiste de l’urgence hospitalière 
et de l’imagerie médicale, de son workflow et de l’intelligence artificielle. 
Par le développement des solutions innovantes utilisant le Deep Learning 
sur des données médicales, notre mission est d’offrir aux acteurs de la santé 
les outils pour accélérer, sécuriser et optimiser le workflow et la prise en 
charge des patients en services d’urgence, et ainsi désengorger les urgences.";"Par le développement de ML-Emergency-Suite, Milvue vise aujourd’hui 
à compléter son offre pour l’optimisation du workflow d’urgence, par 
le développement d’un module de prévision de l’ensemble des flux 
d’urgences pour traiter 100% du workflow. Par l’anticipation des flux 
d’amont et l’optimisation des prises en charge en aval, Milvue vise un 
positionnement concurrentiel unique qui adresse la problématique 
centrale de l’engorgement du workflow d’urgence."
mymedicalassistant;iaudiogram;numérique deep tech;78;5;MARNE (51);" 825 950 € 

 OB"; 371 676 €; 2020 - 2023;"iAudiogram, plateforme de télé-audiométrie, offre aux O.R.L. et 
Médecins Généralistes une solution permettant de déléguer leurs bilans 
audiométriques à des Experts Audiométristes. Cette réalisation s’appuie 
sur l’Audiopod, 1er audiomètre informatisé développé spécifiquement pour 
la télémédecine.";"Les troubles auditifs impactent 10% de la population et sont sous-
diagnostiqués. Outre le problème de Santé Publique, la non prise en charge 
de ces troubles génère de lourdes dépenses de santé (perte d’autonomie, 
dépression...). Le projet iAudiogram développera des algorithmes 
d’automatisation des différents tests par l’utilisation de l’Intelligence 
Artificielle. De plus, une analyse (Big Data) des audiométries recueillies 
avec nos partenaires cliniciens permettra d’améliorer les diagnostics et 
la compréhension des mécanismes physiopathologiques. A terme, notre 
algorithme MyAudioPrediction établira pour le Corps Médical, un « pré-
diagnostic » et une « prédiction » personnalisée du devenir audiométrique 
du patient."
né d’une seule ferme;industrie modulaire;alimentation durable pour la santé;49;5;PARIS (75);" 986 400 € 

 OB"; 443 880 €; 2020 - 2023;"Né d’une seule ferme crée plus de valeur à la ferme, en rendant simple 
la transformation, via des modules (containers) équipés et mobiles 
transformant l’industrie en Industry as a Service. Les containers sont 
prévus pour être déployés par centaines sur tout le territoire, et rendront 
accessibles les produits fermiers.";"Ce projet porte sur l’analyse technique et économique du prototypage 
de modules (containers) pour la fabrication à la ferme d’une gamme de 
produits de première nécessité. Après le POC du yaourt, seront conçus 
des fromages blancs, compotes, farines, et huiles. La fabrication à la ferme 
permettra de redonner de la résilience à la chaîne d’approvisionnement 
alimentaire, dont la crise actuelle a révélé certaines limites. L’installation 
des modules permettra de répondre à la demande des consommateurs 
pour des produits sains, fermiers, produits proches de chez eux, et qui 
rémunèrent justement le fermier.
 ferme"
oasis smart sim europe;velios;numérique deep tech;79;5;YVELINES (78);" 907 310 € 

part"; 408 288 €; 2020 - 2022;"Oasis Smart SIM Europe (Oasis) fournit des technologies de pointe et 
des services personnalisés permettant le déploiement d’eSIM (carte SIM 
intégrée). À la pointe de l’innovation dans l’industrie des logiciels embarqués 
sécurisés, Oasis est membre de la GSMA depuis 2011 et a été la 1ere PME 
mondiale à avoir obtenu un très large portefeuille de certifications de la 
part des autorités de régulations.";"Le projet VELIOS ouvre la voie à un déploiement en masse et éco-
responsable de l’Internet Des Objets sur le réseau 5G.  En proposant une 
digitalisation complète de la fonctionnalité SIM au sein d’une architecture 
logicielle avancée, basée sur les mécanismes de ‘dockerisation’ et 
d’offuscation, hébergée dans un centre de données sécurisé, Oasis ouvre la 
voie à un déploiement éco-responsable des réseaux 5G en Europe et dans 
le monde, tout en s’inscrivant dans le mouvement en cours de virtualisation 
dans les architectures techniques actuelles (réseau, objet).  VELIOS offre en 
outre une compatibilité complète avec les environnements techniques et 
réglementaires existants afin de réduire les délais de déploiement et les 
risques de rejet de la solution par l’écosystème. "
openairlines;skybreathe for atm;transport et mobilité durable;40;5;HAUTE-GARONNE (31);" 982 653 € 

nota"; 420 084 €; 2020 - 2022;"La mission d’OpenAirlines est d’accélérer la transition vers un transport 
aérien durable grâce au numérique.
OpenAirlines développe des logiciels innovants, basés sur le Big Data 
et l’IA pour optimiser les opérations des compagnies aériennes et 
notamment réduire leur consommation de carburant et leur empreinte 
environnementale.";"Le projet consiste à développer une plateforme d’analyse, basée sur le Big 
Data et l’IA pour aider le contrôle aérien à mesurer et réduire son impact 
environnemental.
Grâce au Deep Learning, la plateforme va enrichir les informations radar 
pour calculer précisément les émissions gazeuses de chaque vol. SkyBreathe 
for ATM permettra ainsi de mesurer l’efficacité environnementale de 
chaque route et approche et offrira des outils de simulation pour concevoir 
des approches plus vertes."
orixha;vent2cool;santé situations d’urgences;92;5;VAL-DE-MARNE (94);" 4 814 000 € 

sau
- Am"; 2 166 300 €; 2021-2023;"L’ambition du projet est d’améliorer la survie et diminuer les séquelles 
de l’arrêt cardiaque en commercialisant, dès 2024, la solution Vent2Cool 
d’hypothermie ultra-rapide par ventilation liquidienne. Ce dispositif 
médical aura un double impact : 
- Augmenter de 30-35% à plus de 50% le taux de survie des patients 
réanimés après un Arrêt Cardiaque Extra-Hospitalier, ce qui permettra de 
sauver plus de 5,000 vies par an en Europe ;
- Améliorer l’efficacité et potentialiser les efforts de la chaine de survie 
mobilisée au niveau du SAMU et des Urgences pour la prise en charge de 
l’Arrêt Cardiaque Extra-Hospitalier.";"Avec le soutien d’i-Nov, Orixha obtiendra sous 3 ans le marquage CE sur les 
3 dispositifs médicaux de classe II de la solution Vent2Cool en menant à 
bien les programmes de R&D suivants :
- Développement de l’Unité de Contrôle, Kit Patient à usage unique et 
Liquide Respirable pour l’étude clinique « first-in-man » et le marquage 
CE selon règlement MDR/2017.
- Validation clinique lors d’un premier essai clinique sur 30 patients piloté 
par l’Hôpital Cochin qui démontrera la performance et la sécurité 
d’emploi de Vent2Cool."
plenesys;hyplasma;énergies renouvelables, stockage et systèmes énergétiques;16;5;ALPES-MARITIMES (06);" OB
 880 754 €"; 376 522 €; 2020 - 2021;"PLENESYS est une startup deeptech travaillant sur des technologies plasma 
haute température innovantes. PLENESYS développe des torches plasma 
triphasées à fonctionnement continu destinées aux industries des procédés 
ainsi qu’un nouveau procédé de production d’hydrogène décarboné basé 
sur sa torche plasma propriétaire.";"Le projet HyPlasma vise à développer un procédé portant le même nom 
permettant de produire de l’hydrogène décarboné à partir de méthane. 
Le méthane est craqué par la chaleur propre à très haute température 
provenant d’une torche plasma triphasée innovante pour donner de 
l’hydrogène et du carbone solide sans émissions de gaz à effet de serre. 
Le projet vise à concevoir de manière détaillée le procédé englobant 
l’ensemble torche plasma – réacteur, à fabriquer les équipements et les 
intégrer dans un démonstrateur de 50 tonnes H2/an qui sera validé et 
optimisé à la suite d’une campagne d’essais."
powerup;skipper box;énergies renouvelables, stockage et systèmes énergétiques;18;5;"SEINE-SAINT-DENIS (93)

 SAVOIE (73)";"Le p
équi
 643 000 €"; 275 115 €; 2020 - 2022;"PowerUp conçoit, développe et commercialise des solutions de diagnostic, 
de gestion et de supervision de parcs de batteries, pour permettre 
d’exploiter les batteries au maximum de leur potentiel dans différentes 
conditions d’usage.";"Le projet i-Nov 2020 « SKIPPER BOX » ambitionne la mise au point d’un 
équipement du même nom, visant à être intégré dans des systèmes 
batteries de secours de type 48V, systèmes qui permettent d’assurer une 
continuité de service pour de très nombreuses applications critiques 
(réseaux, hôpitaux, datacenters, ferroviaires, télécoms, etc.). Le dispositif 
SKIPPER BOX apportera à ces systèmes industriels une plus grande fiabilité 
de service, une plus grande longévité des batteries, et une prédictibilité 
de leur maintenance, optimisant ainsi leur impact à la fois économique 
(CAPEX/OPEX) et écologique (réduction des déchets liés aux batteries)."
procsea;procsea-hub;alimentation durable pour la santé;50;5;ILLE-ET-VILAINE (35);" 1 566 863 € 

d’ap
une"; 548 400 €; 2020 - 2022;"ProcSea est la place de marché en ligne spécialisée dans les produits 
de la mer et exclusivement dédiée aux professionnels. Depuis 2016, 
nous connectons en temps réel les mareyeurs et producteurs avec les 
restaurateurs, poissonniers et grandes surfaces.
La crise sanitaire du COVID-19 a mis en évidence les manques de la filière 
en termes d’échanges d’information et la désorganisation de la chaine 
d’approvisionnement. La transformation digitale n’a jamais été autant 
une priorité pour les entreprises de la filière, c’est devenu une question de 
survie.";"Depuis 2016, ProcSea a relevé le défi de la digitalisation de la filière des 
produits de la mer grâce à la création de la première place de marché 
digitale B2B européenne. Ce projet vise à atteindre le prochain niveau de 
digitalisation d’une filière en déficit de numérisation en combinant à la 
marketplace existante plusieurs modules logiciels en mode SaaS. Gestion 
des stocks en temps réel, suivi de la traçabilité, pilotage de la marge sont 
autant de fonctionnalités qui seront disponibles via l’outil SaaS développé. 
Ce modèle hybride de SaaS-enabled marketplace est unique dans la filière."
qucit sas smartesting;qucit comfort;numérique deep tech;80;5;GIRONDE (33);" 1 457 930 € 

agré"; 656 067 €; 2020 - 2022;"Qucit (Quantified Cities) est une entreprise française spécialisée dans 
l’édition de solutions logicielles pour une gestion intelligente des 
problématiques urbaines. Qucit développe une plateforme d’intelligence 
artificielle contextuelle permettant de modéliser les comportements et les 
perceptions humaines. Sa mission est de contribuer à rendre les villes plus 
agréables, efficaces et durables.";"L’objectif de Qucit Comfort est de permettre, une consultation urbaine plus 
efficace, fréquente, beaucoup moins coûteuse et plus représentative de la 
diversité des populations et des usages que les méthodes de consultation 
traditionnelles. 
Nous développons un produit de rupture qui utilise les dernières 
avancées en traitement automatique du langage naturel pour générer 
automatiquement les phrases représentants les perceptions et les attentes 
principales des populations en tout point d’un territoire. En parallèle, Qucit 
Comfort offre un ensemble des tests, garde-fous et moyens de visualisation 
pour que l’utilisateur puisse s’assurer que les recommandations produites 
par l’intelligence artificielle sont exactes, objectives et explicables."
redberry;redwaters;eau et biodiversité;8;5;BAS-RHIN (67);"déve
 954 279 €"; 407 955 €;2020 - 2022;"Redberry développe et commercialise des solutions de contrôles 
microbiologiques rapides, sans phase de culture, simples et quantitatifs à 
destination des industriels.
Ses solutions applicables sur le terrain permettent une meilleure 
réactivité en cas de contamination pour les industries pharmaceutiques, 
agro-alimentaires, cosmétiques et les professionnels des eaux. Des 
développements sont en cours pour le diagnostic médical.";"Ce projet concerne le développement d’une solution instantanée, simple 
et compétitive pour le contrôle quantitatif de la charge microbiologique 
des eaux (potables, industrielles, environnementales).
Le but est de garantir des contrôles qualité rapides, sur site, permettant plus 
de réactivité en cas de contamination, pour tous les secteurs industriels 
(eaux, pharma, agro-alimentaire)."
retrofleet;reset;transport et mobilité durable;41;5;"ISÈRE (38), 

 PYRÉNÉES-ORIENTALES (66)";" 952 000 € 

 OB"; 406 980 €; 2020 - 2022;"Transformation de flottes de véhicules thermiques en véhicules électriques 
(retrofit), en impliquant les collectivités dans un projet d’économie circulaire 
au plus proche de leurs besoins, créateur d’emplois locaux (industriels, 
formation, maintenance), de nouveaux services numériques et de gestion 
énergétique du territoire.";"RESET vise à effectuer les développements R&D nécessaires pour optimiser 
les coûts des kits de conversion innovants, adaptés aux besoins des flottes, 
et à les rendre communicants. Il s’agit de favoriser l’industrialisation du 
retrofit en France et dans le monde, par une approche originale basée sur 
les attentes et l’implication des collectivités territoriales et des entreprises 
locales.
Les briques technologiques développées permettent l’émergence d’un 
marché du retrofit rentable, à forte valeur écologique (décarbonation 
des transports et économie circulaire), sanitaire (qualité de l’air) et sociale 
(création d’emplois)."
roseau technologies;raccoflex-bt;énergies renouvelables, stockage et systèmes énergétiques;17;5;ISÈRE (38);" OB
 750 070 €"; 283 076 €; 2021 - 2023;"Roseau Technologies développe pour ses clients, les acteurs du secteur 
de la distribution d’électricité, des logiciels d’études techniques. Elle 
dispose d’un double savoir-faire en ingénierie des réseaux électriques et 
en ingénierie logicielle, couplé à une forte expertise dans le domaine des 
réseaux électriques intelligents (“smart grids”).";"Le projet RACCOFLEX-BT vise à développer une solution logicielle 
automatisée de supervision et de pilotage des installations de production 
d’électricité de petite puissance raccordées aux réseaux Basse Tension. Cette 
solution facilitera l’intégration rapide et à moindre coût de ces installations 
de production au réseau existant, avec des bénéfices économiques pour 
l’ensemble des parties prenantes ainsi que des bénéfices environnementaux 
et sociétaux pour l’ensemble de la collectivité."
scortex;deepcad;french fab industrie du futur;68;5;HAUTS-DE-SEINE (92); 1 388 252 €; 624 711 €; 2020 - 2023;"Le système Scortex automatise le contrôle visuel sur ligne de production. 
Grâce aux technologies d’apprentissage profond, les inspections les plus 
complexes sont rendues possibles. Les stations d’inspection Scortex 
produisent et mettent à disposition la donnée qualité en temps réel, ce qui 
permet aux industriels d’optimiser leur outil de production.";"Scortex se propose de réaliser l’ambitieux projet DEEPCAD (Deep learning 
with CAD models).
Ce projet comporte trois volets :
- Génération d’images de synthèse de pièces industrielles : permettant 
l’augmentation des performances de modèles de deep learning,
- Simulation de systèmes d’acquisition : accélération du prototypage et 
des tests de systèmes de vision industrielle,
- Jumeau numérique complet du système d’inspection : amélioration et 
validation de la robustesse des applications industrielles déployées par 
Scortex.
Le projet a pour but de repousser les limites actuelles du deep learning 
dans un contexte industriel et vise à accélérer le déploiement et le ROI de 
ce type de solution."
sekoia;intelligence node;cybersécurité;57;5;ILLE-ET-VILAINE (35);" 991 503 € 

 OB"; 446 175 €; 2020 - 2022;"SEKOIA est spécialiste en Cybersécurité et propose des services 
professionnels ainsi que la solution SEKOIA.IO, solution de cyberdéfense 
intégrant des capacités de détection modernes combinées à une threat 
intelligence hyper contextualisée.";"Le projet Intelligence Node permet de disposer d’une solution pour opérer 
la Threat Intelligence à tous ses stades et pour tous les utilisateurs, quelles 
que soit leur niveau d’exigence. L’exploitation du projet permettra la mise 
en place d’un écosystème complet de Threat Intelligence implémentant 
parfaitement le cycle du renseignement et pouvant s’adapter à tous les cas 
d’usage."
sesame it;loki ml;cybersécurité;58;5;HAUTS-DE-SEINE (92);" 990 382 € 

cont
Une"; 445 671 €; 2020 - 2022;"Pure Player Cybersécurité, Sesame IT est dédiée à la détection d’attaques 
réseau. La mission de Sesame IT est d’accompagner les Organisations 
d’Intérêt Vital pour sécuriser efficacement leurs réseaux. Aujourd’hui 
la société démarre la commercialisation de sa sonde Jizo, et travaille 
continuellement sur sa nouvelle solution de deceptive technologie, Loki.
Une solution de « Deception » consiste à créer un réseau parallèle (de 
leurres) pour y attirer les attaquants. Cela permet de protéger le réseau réel 
mais aussi d’observer les attaquants pour comprendre leurs méthodes et 
leurs tactiques, et mieux s’en protéger.";"Sesame it, en parallèle des développements de sa sonde souveraine 
de détection d’incidents, commencé un ambitieux programme de 
recherches et de développements pour mettre au point une solution 
de « Deception », souveraine également, embarquant des concepts très 
innovants."
smartesting;deepqa;numérique deep tech;81;5;"SEINE-SAINT-DENIS (93)

 DOUBS (25)"; 742 704 €; 334 215 €; 2020 - 2021;"Smartesting développe des solutions cognitives d’automatisation de test 
qui améliorent l’efficience des équipes QA des Systèmes d’Information. Nos 
produits mêlent représentations visuelles et technologies d’IA pour faciliter 
la conception en mode agile des tests les plus pertinents et accélérer leur 
automatisation.";"Le projet DeepQA est une innovation de rupture visant à robotiser le 
processus de test logiciel par apprentissage à partir des traces d’exécution 
du système.  Le résultat est un outil SaaS permettant à la fois de réduire 
très fortement l’effort de création et de maintenance des tests automatisés 
pour les processus de développement DevOps, et de garantir la couverture 
par les tests automatisés des parcours utilisateurs pertinents des utilisateurs 
du système sous test.
g Solutions & Services"
spaceable;meteora;numérique deep tech;82;5;"PARIS (75)

 HAUTE-GARONNE (31)";" 1 876 090 € 

MET"; 844 239 €; 2020 - 2022;"SpaceAble crée la première plateforme SAAS et multi-face de données 
spatiales permettant à ses utilisateurs d’accéder à toutes les données 
critiques pour surveiller avec précision et simuler les risques associés aux 
actifs en orbite terrestres, notamment les risques de météo spatiale. ";"METEORA constitue le chainon pour que les Constellations Télécom 
puissent fonctionner de façon durable, et assurer ainsi un bon service 
internet depuis l’espace. Le mix deep tech inédit en milieu spatial de 
METEORA (cryptographie, DLT, intelligence artificielle, machine learning, 
software) lui permet de se positionner en tant qu’acteur de confiance dans 
le traitement de données et le développement d’une politique européenne 
de responsabilisation quant à l’usage de l’espace.
©SPACEABLE"
spotlight;groot;numérique deep tech;83;5;ESSONNE (91); 805 009 €; 362 253 €; 2020 - 2023;"SpotLight aide les acteurs du sous-sol à détecter les changements avec 
une solution de surveillance sismique non-invasive, peu coûteuse, fiable, 
écologique et permanente tout en donnant une information en temps réel 
pour alerter sur les changements et diminuer les risques associés. ";"Depuis la création de la compagnie en 2017, SpotLight a réussi à démontrer 
l’utilité et l’efficacité de la technologie de détection des changements 
en sous-sol à l’échelle pilote sur plusieurs champs (TRL7). L’objectif de ce 
projet est de permettre la massification de l’application de la technologie 
de surveillance des sous-sols proposée par Spotlight. Autrement dit, il 
s’agirait de passer d’une TRL7 à une TRL9, et ce grâce à l’automatisation 
de l’acquisition, du transfert et du traitement des données ainsi qu’au 
développement d’une plateforme logicielle d’alerte des clients lorsque des 
changements surviennent."
stockage plus;lumi;transport et mobilité durable;42;5;PARIS (75);" 988 080 € 

ma"; 422 404 €; 2020 - 2023;"URBANHUB est un opérateur de logistique urbaine décarbonée, pour la 
métropole du Grand Paris. Deux lignes d’activité :
• e-commerce : logistique pour un site e-commerce, jusqu’à la livraison 
finale et la gestion des retours (France et étranger) ;
• cross-docking (réception, tri, préparation gestion transport) des clients : 
marques et distributeurs.";"L’objectif du projet est :
• d’établir des entrepôts en ville (stocks, cross-dock, préparation 
e-commerce,etc.) afin de pouvoir activer des moyens de transports 
propres : véhicules propres, vélo, à pied ;
• de développer et industrialiser la plateforme informatique associée.
TOCKAGEPLUS"
tellux;thsl 20-20;eau et biodiversité;9;5;SEINE-MARITIME (76); 997 819 €; 426 568 €; 2020 - 2022;"Tellux développe une gamme de produits adaptés au marché de 
la dépollution. Aujourd’hui, la technologie HSL permet d’analyser 
ponctuellement en laboratoire des échantillons de sols. Demain, un 
modèle miniaturisé et embarqué permettra de suivre en temps réel l’état 
de la pollution et des déchets reçus en décharge ou dans les rejets des 
usines Seveso.";"Ce projet vise à analyser en temps réel les terres polluées grâce à l’imagerie 
hyperspectrale couplée au Machine Learning. Une fois l’algorithme entraîné 
en laboratoire, un pilote industriel est installé à l’entrée d’une installation 
de stockage de déchets non-dangereux (ISDND). Différentes versions du 
produit HSL seront développées pour l’analyse ponctuelle en laboratoire 
puis le monitoring embarqué en centre de stockage et/ou en usine Seveso. 
Ainsi, Tellux s’inscrit dans une logique éco-responsable en améliorant le 
diagnostic et rendant ainsi le traitement des terres et des eaux polluées 
plus efficient."
telma;hib;transport et mobilité durable;43;5;VAL-D’OISE (95); 2 432 756 €; 797 813 €; 2020 - 2022;"Depuis plus de 60 ans, Telma est le leader mondial du freinage sans friction 
basé sur le principe physique de l’induction électromagnétique. L’entreprise 
TELMA est spécialiste dans la conception et la réalisation de ralentisseurs 
électromagnétiques à destination de véhicules lourds (camions, autobus et 
autocars).";"Le projet HIB ambitionne de diminuer nettement la pollution atmosphérique 
à travers le développement d’un système hybride complet comprenant 
tous les éléments permettant de réaliser les fonctions de ralentisseur, 
propulsion, génération de courant et stockage-distribution de l’énergie. 
Le design d’une seule machine s’intègrera dans l’environnement véhicule 
dans la ligne de transmission (poids lourds) ou directement dans la boîte 
de vitesse (autobus). Tout en améliorant la qualité de l’air, la solution HIB 
réduira les coûts de maintenance du système de freinage (diviser par 5 le 
changement des plaquettes de freins) et améliorera l’autonomie électrique 
des véhicules à l’aide d’un générateur électrique."
